,Evaluation,Solution_Count
0,0.0,0
1,20971500.0,1
2,47972400.0,2
3,66584600.0,3
4,83623900.0,4
5,83623900.0,5
6,94109700.0,6
7,103809000.0,7
8,107217000.0,8
9,130810000.0,9
10,135004000.0,10
11,138150000.0,11
12,141033000.0,12
13,148898000.0,13
14,152306000.0,14
15,171180000.0,15
16,175899000.0,16
17,179306000.0,17
18,184812000.0,18
19,194511000.0,19
20,195822000.0,20
21,200540000.0,21
22,204472000.0,22
23,205259000.0,23
24,205783000.0,24
25,213910000.0,25
26,225444000.0,26
27,225706000.0,27
28,231473000.0,28
29,234881000.0,29
30,241959000.0,30
31,244318000.0,31
32,250085000.0,32
33,252969000.0,33
34,254280000.0,34
35,259260000.0,35
36,260833000.0,36
37,261620000.0,37
38,262144000.0,37
