,Generations,Solution_Count
0,0.0,0
1,269.0,1
2,303.0,2
3,328.0,3
4,336.0,4
5,340.0,5
6,398.0,6
7,400.0,7
8,430.0,8
9,442.0,9
10,450.0,10
11,458.0,11
12,506.0,12
13,511.0,13
14,525.0,14
15,536.0,15
16,545.0,16
17,550.0,17
18,578.0,18
19,630.0,19
20,670.0,20
21,697.0,21
22,700.0,22
23,743.0,23
24,754.0,24
25,768.0,25
26,776.0,26
27,785.0,27
28,837.0,28
29,853.0,29
30,864.0,30
31,882.0,31
32,890.0,32
33,916.0,33
34,923.0,34
35,925.0,35
36,952.0,36
37,955.0,37
38,958.0,38
39,958.0,39
40,964.0,40
41,990.0,41
42,1000.0,41
